Year,Player_ID,First_name,Last_name,Full_name,Position,Height_inches,Weight_lbs,Wingspan_inches,Standing_reach_inches,VJ inches,Running_VJ_Inches,Lane_agility,Sprint_3qtr_court,Bench_press_135,Body_fat_perc
2003,12291,Mire,Chatman,Mire Chatman,PG,72,174,78,98,29,33,11.12,3.18,1,NA
2003,12042,Chris,Christoffersen,Chris Christoffersen,C,84.75,291,87.5,109,28,31,12.55,3.39,13,NA
2003,12043,Lenny,Cooke,Lenny Cooke,SG,77.5,214,85,107,NA,NA,NA,NA,0,NA
2003,12044,Craig,Dawson,Craig Dawson,SG,75.5,200,78.25,102,26,30,12.06,3.25,0,NA
2003,2399,Mike,Dunleavy,Mike Dunleavy,SF,80,230,81,106,24.5,29,11.55,3.3,11,NA
2003,12045,Teddy,Dupay,Teddy Dupay,PG,69.5,178,70.75,90.5,28,33,10.53,3.19,16,NA
2003,2451,Corsley,Edwards,Corsley Edwards,PF,79.25,285,82.75,106.5,28.5,33,12.18,3.31,12,NA
2003,12046,Andy,Ellis,Andy Ellis,PF,81.25,220,82.25,102,32,35.5,11.69,3.34,6,NA
2003,2408,Melvin,Ely,Melvin Ely,PF,81,240,88,111,26,29,11.96,3.35,7,NA
2003,2501,Reggie,Evans,Reggie Evans,PF,79.5,250,86.5,107.5,26,29.5,12.73,3.26,15,NA
2003,12047,Peter,Fehse,Peter Fehse,PF,82,220,84.5,109,NA,NA,NA,NA,NA,NA
2003,2400,Drew,Gooden,Drew Gooden,PF,80.75,227,84.5,106.5,29,33,11.81,3.19,13,NA
2003,12066,David,Graves,David Graves,SG,76.5,212,79,101,26,29.5,11.2,3.27,8,NA
2003,2696,Lynn,Greer,Lynn Greer,PG,72.25,170,73,94.5,29.5,36.5,11.24,3.16,12,NA
2003,12067,Rod,Grizzard,Rod Grizzard,SF,78,193,84,107,NA,NA,NA,NA,6,NA
2003,101219,Anthony,Grundy,Anthony Grundy,PG,72.75,167,79.75,99,27.5,32,11.1,3.39,0,NA
